,code,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
42,CZE,Czech Republic,1993,,,,,,,,,,29,29.0,,,,,,,,
43,COD,Democratic Republic of the Congo,1964,1967.0,0.968296032,0.39511229999999997,0.4304962004063014,0.4987732769737752,0.13045934251821556,0.013499296129334426,0.6537452537611925,0.444858741901974,58,3.0,0.322765344,0.14349873346876713,0.043486447506071856,0.21791508458706418,0.0068122810344827586,0.008599539258168538,0.00023274648498852458,0.007669978308654724
44,DNK,Denmark,1866,1953.0,0.92254569,0.92254569,0.5883016321873852,0.5883016321873852,0.0685756049556584,0.0685756049556584,0.4097802848529133,0.4097802848529133,156,87.0,0.010603973448275862,0.006762087726291784,0.0007882253443179127,0.004710118216700153,0.005913754423076923,0.0037711643088934946,0.0004395872112542205,0.0026267966977750854
45,DJI,Djibouti,1977,1992.0,0.61920246,0.61920246,0.4410730471534441,0.4410730471534441,0.2485869338323755,0.2485869338323755,0.2884652440926529,0.2884652440926529,45,15.0,0.041280164,0.029404869810229606,0.0165724622554917,0.019231016272843526,0.013760054666666667,0.009801623270076535,0.0055241540851639,0.006410338757614509
46,DMA,Dominica,1978,,,,,,,,,,44,44.0,,,,,,,,
47,DOM,Dominican Republic,1821,1858.0,0.91808605,0.89906949,0.3580853916653842,0.717130328789791,0.15414830330685525,0.2460374263798787,0.5089551290326193,0.8191445485573818,201,37.0,0.024813136486486486,0.009677983558523898,0.004166170359644736,0.01375554402790863,0.004472982537313433,0.003567812581043736,0.0012240667979098443,0.0040753460127232926
48,TLS,East Timor,2002,,,,,,,,,,20,20.0,,,,,,,,
49,ECU,Ecuador,1830,1869.0,0.919044465,0.53635955,0.514237878907873,0.7819215177363642,0.1051388814595745,0.2965751181906755,0.4357134234047142,0.7237390222380901,192,39.0,0.023565242692307694,0.01318558663866341,0.002695868755373705,0.011172139061659338,0.0027935393229166668,0.004072507904876897,0.0015446620739097683,0.003769474074156719
50,EGY,Egypt,1923,1956.0,0.68032724,0.79120411,0.548310928737294,0.7955455535994578,0.07823799382712315,0.16491743891009336,0.7750710624742156,0.8225388845798219,99,33.0,0.02061597696969697,0.01661548268900891,0.002370848297791611,0.02348700189315805,0.007991960707070707,0.008035813672721796,0.0016658327162635694,0.008308473581614363
51,SLV,El Salvador,1824,1841.0,0.5937299,0.70545837,0.3812717064165759,0.5111833056944656,0.08766076062457995,0.21277711235544505,0.4776146647675586,0.5781691683711179,198,17.0,0.034925288235294116,0.022427747436269168,0.005156515330857644,0.028094980280444624,0.0035629210606060607,0.0025817338671437653,0.0010746318805830558,0.0029200463049046358
52,GNQ,Equatorial Guinea,1968,1973.0,0.37257229999999997,0.44993055000000004,0.4756206993229406,0.5568103196999213,0.058405414536913836,0.05813516423138598,0.528036609551694,0.4562273142271769,54,5.0,0.07451445999999999,0.09512413986458812,0.011681082907382767,0.1056073219103388,0.008332047222222224,0.01031130221666521,0.0010765771153960367,0.008448653967169942
53,ERI,Eritrea,1997,,,,,,,,,,25,25.0,,,,,,,,
54,EST,Estonia,1920,1937.0,0.956656273,0.984250495,0.4368599398995548,0.6160921444776427,0.20961234394703698,0.13966905649871086,0.4456513653419309,0.3538483972972984,102,17.0,0.05627389841176471,0.025697643523503223,0.012330137879237469,0.02621478619658417,0.009649514656862744,0.006040119063506301,0.0013693044754775575,0.003469101934287239
55,ETH,Ethiopia,1931,1955.0,0.09197319999999998,0.8037003,0.2395621407852246,0.7864164800222966,0.2737777946359312,0.3380186079292319,0.2434115270962546,0.7723030644717425,91,24.0,0.0038322166666666657,0.009981755866051024,0.011407408109830467,0.010142146962343942,0.008831871428571428,0.008641939340904358,0.003714490197024526,0.00848684686232684
