,country,year,distance_tfidf_prime,distance_lda50_prime,distance_use_prime,distance_stm50_prime,distance_tfidf_sequence,distance_lda50_sequence,distance_use_sequence,distance_stm50_sequence
58,Brazil,1946,0.7983432,0.738967737812532,0.14678027667153237,0.7510031329809943,0.17390227317810059,0.1854832389526179,0.028109086991564447,0.7510031329809943
59,Brazil,1967,0.83801346,0.7487449476425054,0.1858561941710558,0.7714675011610662,0.11656200885772705,0.1812519920173884,0.013061004832883194,0.7714675011610662
60,Brazil,1988,0.902585074,0.8096354680364491,0.3015444523113866,0.8231224916992143,0.13883966207504272,0.3750032981091742,0.08375088947340636,0.8231224916992143
61,Bulgaria,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Bulgaria,1971,0.46723294000000004,0.4030430466495423,0.04643947126270398,0.2955285489225614,0.46723294258117676,0.4030430466495423,0.04643947126270398,0.2955285489225614
63,Bulgaria,1991,0.48781395000000005,0.6959209565901505,0.07318119922901622,0.5673320909691442,0.35259073972702026,0.6290983297696648,0.03729975286086096,0.5673320909691442
64,Burkina Faso,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Burkina Faso,1988,0.923918046,0.8322413362858245,0.23001554489984022,0.8129855665440731,0.9239180460572243,0.8322413362858245,0.23001554489984022,0.8129855665440731
66,Burkina Faso,1991,0.942904733,0.6662028209020739,0.11402864259473788,0.3562089015719371,0.5349808633327484,0.8003904552096498,0.12269864116403695,0.3562089015719371
67,Burundi,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Burundi,1974,0.41929185,0.5365899088218161,0.10679735540596835,0.6157018237589597,0.4192918539047241,0.5365899088218161,0.10679735540596835,0.6157018237589597
69,Burundi,1981,0.63710412,0.7293257721384628,0.09926820910090217,0.6772933263052449,0.2970004677772522,0.3470522745454438,0.04982319566357196,0.6772933263052449
70,Burundi,1992,0.838144,0.7299172262398749,0.11868007105600675,0.662228558169816,0.6084776520729065,0.2485098985229886,0.07505294305085963,0.662228558169816
71,Burundi,2004,0.80727927,0.7207043241992267,0.19330257870918222,0.7031164309152658,0.2633417248725891,0.2359041240908134,0.057881737053728455,0.7031164309152658
72,Burundi,2005,0.80956571,0.724733696732149,0.19198231492289397,0.710791939361174,0.1124657392501831,0.1414809469653453,0.002426331602696008,0.710791939361174
73,Cambodia,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Cambodia,1972,0.888758264,0.5031897603880783,0.06916978539258556,0.6217451939902118,0.8887582644820214,0.5031897603880783,0.06916978539258556,0.6217451939902118
75,Cambodia,1976,0.65595815,0.7801856611053375,0.31979154188108116,0.7604300587400612,0.9664022810757161,0.8142645821183572,0.32924543583805066,0.7604300587400612
76,Cambodia,1981,0.981131464,0.7643214826337542,0.10410687282544495,0.7269555975795408,0.9530612789094449,0.4490171228788636,0.27465494005179236,0.7269555975795408
77,Cambodia,1989,0.7017503700000001,0.705757152288709,0.08318567859545956,0.7109470694770634,0.806818425655365,0.2623136364055792,0.023239214013165976,0.7109470694770634
