,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
48,COD,Democratic Republic of the Congo,1964,1967.0,0.9666553,0.40138149999999995,0.2944656014442444,0.2101870477199554,0.13045934251821556,0.013499296129334426,58,3.0,0.32221843333333333,0.0981552004814148,0.043486447506071856,0.006920370689655172,0.0036239146158612997,0.00023274648498852458
49,DNK,Denmark,1866,1953.0,0.92355181,0.92355181,0.3549363017082214,0.3549363017082214,0.0685756049556584,0.0685756049556584,156,87.0,0.010615538045977011,0.004079727605841625,0.0007882253443179127,0.00592020391025641,0.0022752327032578294,0.0004395872112542205
50,DJI,Djibouti,1977,1992.0,0.62124264,0.62124264,0.1609429717063904,0.1609429717063904,0.2485869338323755,0.2485869338323755,45,15.0,0.041416176,0.010729531447092693,0.0165724622554917,0.013805392,0.003576510482364231,0.0055241540851639
51,DMA,Dominica,1978,,,,,,,,44,44.0,,,,,,
52,DOM,Dominican Republic,1821,1858.0,0.92453964,0.89209254,0.1513967514038086,0.6360113620758057,0.15414830330685525,0.2460374263798787,201,37.0,0.024987557837837838,0.004091804091994827,0.004166170359644736,0.004438271343283583,0.0031642356322179386,0.0012240667979098443
53,TLS,East Timor,2002,,,,,,,,20,20.0,,,,,,
54,ECU,Ecuador,1830,1869.0,0.90741281,0.5273044,0.1808865964412689,0.5064204931259155,0.1051388814595745,0.2965751181906755,192,39.0,0.023266995128205126,0.004638117857468433,0.002695868755373705,0.0027463770833333332,0.00263760673503081,0.0015446620739097683
55,EGY,Egypt,1923,1956.0,0.6792372799999999,0.79110418,0.6878604888916016,0.6926770806312561,0.07823799382712315,0.16491743891009336,99,33.0,0.020582947878787877,0.020844257239139442,0.002370848297791611,0.007990951313131314,0.006996738188194506,0.0016658327162635694
56,SLV,El Salvador,1824,1841.0,0.56371415,0.6875838599999999,0.1030897200107574,0.2045326828956604,0.08766076062457995,0.21277711235544505,198,17.0,0.033159655882352944,0.006064101177103377,0.005156515330857644,0.0034726457575757572,0.0010329933479578809,0.0010746318805830558
57,GNQ,Equatorial Guinea,1968,1973.0,0.3840966,0.4505928,0.2471754252910613,0.1964329928159714,0.058405414536913836,0.05813516423138598,54,5.0,0.07681932,0.04943508505821226,0.011681082907382767,0.008344311111111112,0.0036376480151105815,0.0010765771153960367
58,ERI,Eritrea,1997,,,,,,,,25,25.0,,,,,,
59,EST,Estonia,1920,1937.0,0.95699064,0.983757017,0.3069883584976196,0.6158058643341064,0.20961234394703698,0.13966905649871086,102,17.0,0.05629356705882353,0.018058138735154092,0.012330137879237469,0.009644676637254901,0.006037312395432416,0.0013693044754775575
60,ETH,Ethiopia,1931,1955.0,0.11299424999999996,0.7906495,0.172921061515808,0.5450948476791381,0.2737777946359312,0.3380186079292319,91,24.0,0.004708093749999999,0.007205044229825333,0.011407408109830467,0.008688456043956044,0.0059900532711993195,0.003714490197024526
61,FJI,Fiji,1970,1990.0,0.09360279999999999,0.18017494999999994,0.0238107629120349,0.3496410548686981,0.006937607520058453,0.022008609707786397,52,20.0,0.004680139999999999,0.0011905381456017452,0.00034688037600292263,0.0034649028846153837,0.006723866439782656,0.00042324249438050767
62,FIN,Finland,1919,1999.0,0.55245835,0.55245835,0.3368192315101624,0.3368192315101624,0.07969810884841044,0.07969810884841044,103,80.0,0.006905729375,0.0042102403938770305,0.0009962263606051306,0.0053636733009708734,0.0032700896263122563,0.000773768047071946
63,FRA,France,1791,1793.0,0.70348486,0.94941778,0.1392055451869964,0.6427716612815858,0.21072274013545755,0.15066777446351287,231,2.0,0.35174243,0.0696027725934982,0.10536137006772878,0.00411003367965368,0.002782561304249289,0.0006522414478939951
64,GAB,Gabon,1961,1975.0,0.42509450000000004,0.48937034999999995,0.0579848736524581,0.0472243651747703,0.010045618370294829,0.04982322841619924,61,14.0,0.03036389285714286,0.0041417766894612925,0.0007175441693067734,0.00802246475409836,0.0007741699208978738,0.000816774236331135
65,GMB,Gambia,1970,1996.0,0.1209806,0.1209806,0.3404372930526733,0.3404372930526733,0.048659747516943574,0.048659747516943574,52,26.0,0.004653099999999999,0.013093742040487435,0.001871528750651676,0.0023265499999999997,0.006546871020243717,0.000935764375325838
66,GEO,Georgia,1995,,,,,,,,27,27.0,,,,,,
67,DEU-DR,German Democratic Republic,1949,,,,,,,,73,73.0,,,,,,
68,DEU,Germany,1871,1919.0,0.34817,0.34817,0.1392055302858352,0.1392055302858352,0.03364362066196702,0.03364362066196702,151,48.0,0.007253541666666666,0.0029001152142882334,0.0007009087637909797,0.0023057615894039735,0.0009218909290452663,0.00022280543484746372
